StanChart PLC	1788472.83
SBI	1168579.33
ICICI Bank	865409.07
Axis Bank	776181.32
Yes Bank	583765.2
HDFC Bank	483718.75
Bank of India	374756.65
IndusInd Bank	358130.43
Bank of Baroda	344006.35
PNB	331986.31
Canara Bank	320510.97
Union Bank	260000.01
Kotak Mahindra	229360.15
Allahabad Bank	225024.29
IDFC First Bank	215689.88
IDBI Bank	207316.76
Andhra Bank	157572.45
Interglobe Avi	150374.33
Central Bank	133883.93
UCO Bank	132325.83
Syndicate Bank	128340.27
Corporation Bk	101249.98
NTPC	89398.18
IOB	73605.83
ONGC	70218.62
Reliance	66970.0
RBL Bank	52814.12
Oriental Bank	49959.16
Larsen	46004.04
Vedanta	43215.0
Power Grid Corp	41197.46
SAIL	39339.6
IOC	39238.8
Indian Bank	38311.41
GMR Infra	37442.6
Sundaram Multi	35421.4
Hindustan Aeron	35283.69
GAIL	35097.51
Bharti Airtel	31187.0
Federal Bank	29938.53
Tata Steel	28359.61
Bank of Mah	27781.09
Videocon Ind	26243.44
NHPC	21025.04
HPCL	20869.21
JSW Steel	18906.0
Binny Mills	18450.0
Tata Power	18444.68
Binani Ind	17393.8
Karur Vysya	17153.66
BPCL	16618.13
Jindal Steel	13236.37
South Ind Bk	12700.52
NLC India	11740.15
United Bank	11536.06
Reliance Comm	11249.0
DLF	10200.92
Karnataka Bank	9926.45
GVK Power	9618.8
Indiabulls Real	9439.36
Hind Zinc	9207.0
Pentamedia	8890.0
Adani Enterpris	8877.46
Tech Mahindra	8156.9
DCB Bank	7357.66
Lupin	7044.23
JK Bank	6988.66
Rolta	6894.13
Edelweiss	6784.89
Punjab & Sind	6774.01
Hindalco	6626.03
Oil India	6615.2
Jaiprakash Asso	6547.5
MEP Infra	6195.94
Reliance Power	6181.29
Lakshmi Vilas	6149.64
City Union Bank	6035.09
Future Ent	5974.61
Sun Pharma	5909.04
KSK Energy Vent	5890.23
Rel Capital	5656.0
BHEL	5642.75
Tata Motors	5269.63
TML-D	5269.63
Glenmark	5216.1
IRB Infra	5093.63
Future Retail	5026.47
HDFC	4946.01
Prestige Estate	4857.2
Gayatri Project	4782.65
Cipla	4505.33
Reliance Infra	4495.43
Strides Pharma	4437.15
Adani Ports	4413.74
Tata Comm	4413.27
M&M	4124.73
Godrej Consumer	4057.38
Dilip Buildcon	3738.88
General Insuran	3681.17
Jaypee Infra	3492.0
