MRF	2,707.67	54395.1
Elcid Investmen	1,376.70	6.18
HEG	818.76	1706.75
Polson	692.51	10675.35
Eicher Motors	672.25	20324.0
Bosch	549.31	17998.8
Merck	505.25	3707.3
Honeywell Autom	376.73	23948.6
Page Industries	370.44	22956.15
3M India	317.70	23477.55
National Perox	300.98	2809.55
Shree Cements	295.47	19999.95
Tide Water Oil	277.32	5022.45
Bharat Rasayan	276.88	4283.1
Maruti Suzuki	251.16	6832.15
Kaycee Ind	249.64	3098.0
Victoria Mills	231.72	2419.0
GlaxoSmith Con	216.10	7178.6
Abbott India	205.75	7503.05
Lakshmi Machine	200.06	5857.65
Stovec Ind	189.48	2520.9
Sandur Manganes	185.31	916.3
Hero Motocorp	181.35	2604.15
Nestle	166.67	10970.05
Sanofi India	165.26	5629.05
WABCO India	162.00	6281.95
Paul Merchants	161.77	1915.65
TTK Prestige	158.90	8224.5
Bajaj Auto	153.77	3047.75
TVS Srichakra	151.25	2190.05
Disa India	150.25	5875.0
Shriram City	149.84	1661.6
Shervani Indust	147.75	706.3
Dalal Street	147.28	311.25
Graphite India	144.99	407.45
Sharda Motor	143.87	1471.0
VST	143.86	3401.5
Bharat Bijlee	142.90	1086.05
HIL	141.97	1823.55
Atul	141.60	3465.25
Venkys	138.71	2075.45
Oracle Fin Serv	135.58	3548.3
Vindhya Telelin	129.47	1320.95
Force Motors	127.93	1706.15
Excel	124.17	1098.35
P and G	122.00	10284.4
Lumax Inds	121.92	1715.05
Paushak Ltd	120.21	2188.4
Vardhman Text	120.08	1134.9
Tasty Bite	116.11	8858.0
Ambika Cotton	115.06	1130.0
KSE	110.17	1361.05
Monsanto India	105.55	2517.95
Schaeffler Ind	103.99	5481.55
Hawkins Cooker	101.29	3059.35
Guj Alkali	100.89	489.8
WPIL	98.03	831.45
Bombay Cycle	96.50	1819.3
Maithan Alloys	94.17	525.4
Wendt	93.85	2773.55
Pfizer	92.70	3161.0
GL	92.55	975.0
Hinduja Global	91.67	656.1
UltraTechCement	89.41	4613.45
Kuantum Papers	89.25	439.95
Bayer CropScien	88.69	4096.35
Alphageo	88.31	475.4
Indiabulls Hsg	87.25	737.75
Bajaj Holdings	86.81	3269.55
Electrotherm	86.50	271.15
Shriram Trans	86.50	1136.8
Strides Pharma	86.22	480.6
Sportking India	85.63	420.4
ACC	85.20	1634.45
Guj Flourochem	84.59	1038.3
Akzo Nobel	83.11	1712.4
Elantas Beck	82.98	2317.55
Sundaram-Clayto	82.87	2867.85
L&T Infotech	82.75	1709.85
Cera Sanitary	82.75	2851.85
Transpek	81.60	1545.0
Empire Ind	80.92	809.05
Tata Sponge	80.74	756.15
TCS	80.12	2238.3
Satia Ind	79.82	707.0
SRF	79.63	2557.7
Automotive Axle	79.33	1182.05
JSW Holdings	79.15	2994.5
Nilkamal	78.35	1357.75
VST Tillers	77.99	1297.65
Nirav Comm	77.81	236.3
HDFC Bank	77.40	2275.25
Veljan Denison	76.84	811.0
Bajaj Steel	76.65	267.95
JL Morison	76.34	1439.5
Cholamandalam	75.81	1409.7
Tata Steel	75.35	545.0
Dr Reddys Labs	75.34	2898.9
Excel Crop Care	74.71	3431.05
