Reliance	1391.45	1.23	882027.93
TCS	2238.3	2.13	839896.27
HDFC Bank	2275.25	0.46	619620.34
HUL	1743.75	0.67	377470.33
ITC	304.65	0.05	373459.21
HDFC	1977.7	0.98	340448.67
Infosys	737.1	1.15	321503.37
SBI	312.3	1.96	278715.62
Kotak Mahindra	1378.05	0.96	263047.09
ICICI Bank	407.4	3.05	262656.02
ONGC	168.15	-0.15	211537.39
Maruti Suzuki	6832.15	-1.03	206385.63
Axis Bank	760.2	2.61	195549.67
Larsen	1356.0	0.05	190210.1
Bajaj Finance	3088.7	0.26	178517.1
Wipro	294.35	-0.30	177627.48
Bharti Airtel	324.6	-1.02	166551.97
Coal India	250.15	-0.52	154160.65
HCL Tech	1136.05	0.43	154080.06
IOC	152.9	-0.07	143942.49
Asian Paints	1446.0	-0.16	138700.0
NTPC	134.35	0.79	132933.38
UltraTechCement	4613.45	-0.14	126706.57
Bajaj Finserv	7702.4	0.56	122573.0
Hind Zinc	270.35	-1.12	114231.5
Sun Pharma	463.85	0.59	111293.15
Nestle	10888.0	0.07	104977.43
IndusInd Bank	1696.0	0.76	102254.56
Titan Company	1138.15	-0.25	101043.38
Power Grid Corp	190.8	-0.26	99818.73
Bajaj Auto	3040.75	-1.21	87989.28
M&M	657.7	-0.94	81764.77
Avenue Supermar	1300.85	-2.14	81184.03
Tech Mahindra	823.0	1.02	80991.45
Adani Ports	391.0	0.01	80974.21
HDFC Life	399.35	-0.04	80564.12
BPCL	370.95	3.52	80468.43
GAIL	353.05	2.53	80295.48
Bandhan Bank	598.95	1.42	71459.7
Britannia	2967.4	-0.19	71312.05
JSW Steel	294.05	2.47	71078.37
Dabur India	398.1	0.67	70316.05
Shree Cements	19951.0	0.29	69503.75
Godrej Consumer	654.5	0.59	66900.77
Tata Steel	545.0	6.67	65624.89
SBI Life Insura	633.0	2.94	63300.0
Vedanta	169.65	-0.70	63062.24
Tata Motors	215.4	-2.84	62193.49
Pidilite Ind	1221.1	0.84	62029.23
Grasim	912.2	-1.15	59986.12
Interglobe Avi	1482.1	0.00	56972.94
Eicher Motors	20345.7	0.05	55510.14
Yes Bank	237.4	-0.13	54982.74
Bosch	18085.0	0.24	53339.25
ICICI Prudentia	369.2	0.44	53009.16
Hero Motocorp	2604.15	-0.51	52011.88
Bharti Infratel	272.15	0.44	50337.09
ICICI Lombard	1087.0	1.04	49383.49
UPL	967.35	0.17	49271.26
Aurobindo Pharm	830.1	4.34	48636.85
Dr Reddys Labs	2898.9	-0.86	48140.86
Havells India	766.1	-0.87	47917.48
Piramal Enter	2409.65	-5.70	47867.88
Vodafone Idea	16.35	-3.25	46982.36
Marico	359.4	0.59	46393.67
Cipla	568.45	2.38	45800.2
Motherson Sumi	144.6	-2.49	45663.73
Divis Labs	1720.0	0.18	45660.6
Hindalco	200.95	2.08	45124.71
Ambuja Cements	226.0	2.68	44875.58
HPCL	282.6	2.58	43063.23
General Insuran	243.0	-1.24	42631.92
Bank of Baroda	123.3	0.94	42146.01
Siemens	1180.05	-0.62	42023.97
PNB	88.1	1.26	40561.65
Zee Entertain	418.0	0.26	40148.14
United Spirits	547.45	-0.17	39779.84
Lupin	865.0	-0.32	39140.7
DLF	174.25	0.20	38460.84
United Brewerie	1434.95	-0.99	37940.82
Biocon	619.8	-0.05	37188.0
Bajaj Holdings	3269.55	-0.43	36387.97
Petronet LNG	238.5	1.00	35775.0
HDFC AMC	1603.8	-0.13	34092.49
Cadila Health	328.55	1.39	33635.06
P and G	10284.4	-3.08	33383.92
IDBI Bank	42.8	-2.28	33111.34
Colgate	1201.75	0.12	32685.87
Indiabulls Hsg	737.75	0.68	31531.68
ABB India	1486.0	-0.53	31489.58
Berger Paints	321.4	-0.48	31212.11
ACC	1639.0	1.20	30778.33
NMDC	99.8	-0.70	30557.26
Power Finance	115.15	-2.46	30400.54
Oracle Fin Serv	3542.0	0.53	30382.97
Bank of India	92.15	0.11	30196.85
GlaxoSmith Con	7180.0	-0.41	30195.88
New India Assur	182.0	-0.30	29993.6
Container Corp	492.0	-0.21	29977.28
